fragment,nN,nS,nO,nX,nBondsD,nBondsT,naRing,nARing
CC(N)CCO,1,0,1,0,0,0,0,0
CCNC(=O)C1CCC1,1,0,1,0,1,0,0,1
CC1CCCCN1S,1,1,0,0,0,0,0,1
NCC(=O)NCCO,2,0,2,0,1,0,0,0
NC(=O)C1=CC=C(N)N=C1,3,0,1,0,1,0,1,0
C1=CC2CC(NCN2)O1,2,0,1,0,1,0,0,2
CC(C)NC(=O)C1=CN=CS1,2,1,1,0,1,0,1,0
CCN1CCN(S)CC1,2,1,0,0,0,0,0,1
CNCC(=O)N1CCCCC1,2,0,1,0,1,0,0,1
O=CCCCO,0,0,2,0,1,0,0,0
O=[SH](=O)N1CCC1,1,1,2,0,2,0,0,1
CC1=CC=C(C)C(S)=C1,0,1,0,0,0,0,1,0
CC1=CC(Cl)=CC(Cl)=C1,0,0,0,2,0,0,1,0
CN1N=CC2=C1CCCC2,2,0,0,0,0,0,1,1
O=CNCC1CCCCC1,1,0,1,0,1,0,0,1
CC1=NOC=C1NC=O,2,0,2,0,1,0,1,0
CNCC1CCCCN1,2,0,0,0,0,0,0,1
CC1=NC=C(C=O)S1,1,1,1,0,1,0,1,0
NC1=CC=C(S)C=N1,2,1,0,0,0,0,1,0
NCC1C=CCCN1,2,0,0,0,1,0,0,1
CSCC1=NN=N[NH]1,4,1,0,0,0,0,1,0
O=C(O)N1CCCC1,1,0,2,0,1,0,0,1
CNC(=O)NC1=CC=CC=C1F,2,0,1,1,1,0,1,0
NCC1CCCO1,1,0,1,0,0,0,0,1
CC(=O)N1CCCC2=CC=CC=C21,1,0,1,0,1,0,1,1
NC12CC3CC(CC(C3)C1)C2,1,0,0,0,0,0,0,4
CCC1=CC=C(OC)C=C1,0,0,1,0,0,0,1,0
CC(=O)N1CCCOCC1,1,0,2,0,1,0,0,1
NC1=CN=C(N)N=C1,4,0,0,0,0,0,1,0
C1=CC=C(C2=NN=N[NH]2)C=C1,4,0,0,0,0,0,2,0
O=CN1CCCOCC1,1,0,2,0,1,0,0,1
CC(O)CNC(N)=O,2,0,2,0,1,0,0,0
CCC(=O)NC1=N[NH]C=C1,3,0,1,0,1,0,1,0
ClC1=CC2=C(C=C1)CCNC2,1,0,0,1,0,0,1,1
CC1=CC(Cl)=C(C)C=C1,0,0,0,1,0,0,1,0
C1=CN2C=NN=C2C=N1,4,0,0,0,0,0,2,0
C1=CC(N2CCCC2)=NC=N1,3,0,0,0,0,0,1,1
CNC(=O)CCC1=NC=NO1,3,0,2,0,1,0,1,0
CC(=O)N1CCCC(O)C1,1,0,2,0,1,0,0,1
O=C1CCN=NN1,3,0,1,0,2,0,0,1
CNC(=O)CC1=CNCC1,2,0,1,0,2,0,0,1
C1=C(C2=CC=CC=C2)CCNC1,1,0,0,0,1,0,1,1
CN1C=CC=C(Br)C1,1,0,0,1,2,0,0,1
CNC(=O)CC1=COCC1,1,0,2,0,2,0,0,1
C1=CC2=C(N=C1)OCO2,1,0,2,0,0,0,1,1
C1=CC=C2CCC2=C1,0,0,0,0,0,0,1,1
NC(=O)NC1=CC=CC=C1N,3,0,1,0,1,0,1,0
CC1CCCC1N,1,0,0,0,0,0,0,1
CCNC1=CC=CC(N)=C1,2,0,0,0,0,0,1,0
NC(=O)CC1CCCCC1,1,0,1,0,1,0,0,1
CC1=CC(C)=C(O)C=C1,0,0,1,0,0,0,1,0
CC1=CC=C(C(N)=O)C=C1N,2,0,1,0,1,0,1,0
COCN,1,0,1,0,0,0,0,0
CCCNC(=O)N1CCCCC1,2,0,1,0,1,0,0,1
CC1=CC(S)=C(C)C=C1,0,1,0,0,0,0,1,0
C=CCO,0,0,1,0,1,0,0,0
CC1=CSC(NC=O)=N1,2,1,1,0,1,0,1,0
CC1(C)CCCCC1,0,0,0,0,0,0,0,1
COC1CCN(C)CC1,1,0,1,0,0,0,0,1
COC(=O)CS,0,1,2,0,1,0,0,0
CCC(=O)NC1CCNCC1,2,0,1,0,1,0,0,1
CC(C)NS(C)(=O)=O,1,1,2,0,2,0,0,0
CCC(=O)NC1CCCC1,1,0,1,0,1,0,0,1
O=C1CC(CO)CN1,1,0,2,0,1,0,0,1
CNC(=O)C1CC(=O)N(C)C1,2,0,2,0,2,0,0,1
COCC1=NN=N[NH]1,4,0,1,0,0,0,1,0
COC(=O)CO,0,0,3,0,1,0,0,0
CNC(=O)NC1CCCCC1,2,0,1,0,1,0,0,1
NC(=O)CC1=NOCC1,2,0,2,0,2,0,0,1
CN1C=C(S)C=N1,2,1,0,0,0,0,1,0
CCCNC(=O)C1=CC=CN=C1,2,0,1,0,1,0,1,0
CN1CCC=CC1=O,1,0,1,0,2,0,0,1
C1=CC=C2CNCCCC2=C1,1,0,0,0,0,0,1,1
CC1=CC=C(C=O)C=C1N,1,0,1,0,1,0,1,0
CC1CC2CCC1O2,0,0,1,0,0,0,0,2
CCNC(=O)C1=CN=CC=C1,2,0,1,0,1,0,1,0
CCNC(=O)NC1=CC=CC=C1C,2,0,1,0,1,0,1,0
O=CN1CCNC(=O)C1,2,0,2,0,2,0,0,1
NCC[SH](=O)=O,1,1,2,0,2,0,0,0
COC1=CC(F)=CC=C1,0,0,1,1,0,0,1,0
CC(F)F,0,0,0,2,0,0,0,0
O=[SH](=O)CC1=CC=CC=C1,0,1,2,0,2,0,1,0
COCC(=O)O,0,0,3,0,1,0,0,0
O=CNCC1=C[NH]N=N1,4,0,1,0,1,0,1,0
C#CCOC1=CC=CC=C1,0,0,1,0,0,1,1,0
C1=CCCCC=C1,0,0,0,0,2,0,0,1
CNC1=NC(C)=NC=C1,3,0,0,0,0,0,1,0
CC1=CON=C1C,1,0,1,0,0,0,1,0
CC1=CC=C(C=O)[NH]1,1,0,1,0,1,0,1,0
CN(C)C(=O)C1=CC=CC=N1,2,0,1,0,1,0,1,0
C1=NCCCS1,1,1,0,0,1,0,0,1
CNC(C)CO,1,0,1,0,0,0,0,0
NC(=O)C1=N[NH]C(=O)C=C1,3,0,2,0,2,0,1,0
CC1(N)CC1,1,0,0,0,0,0,0,1
CC(=O)NCC1=CC=NO1,2,0,2,0,1,0,1,0
NC1=CC=C(O)N=C1,2,0,1,0,0,0,1,0
CC(C)CNS,1,1,0,0,0,0,0,0
CC1CNCCN1C,2,0,0,0,0,0,0,1
O=CCN1C=NC2=CC=CC=C21,2,0,1,0,1,0,2,0
O=CC1=CC=C[NH]C1=O,1,0,2,0,2,0,1,0
CC1CCCCC1N,1,0,0,0,0,0,0,1
CCC1=NOC(C)=C1,1,0,1,0,0,0,1,0
NS(=O)(=O)C1=CC=CO1,1,1,3,0,2,0,1,0
CNC(=O)NC1=N[NH]C=C1,4,0,1,0,1,0,1,0
CC1=CC(C)=CC(N)=C1,1,0,0,0,0,0,1,0
C1=CC=C(C2=CN=CO2)C=C1,1,0,1,0,0,0,2,0
O=[SH](=O)NC1=CC=CC=C1,1,1,2,0,2,0,1,0
CCCNC(=O)C1=CN=CS1,2,1,1,0,1,0,1,0
CC1=NC=CC=C1C(N)=O,2,0,1,0,1,0,1,0
NC1=CSCC1,1,1,0,0,1,0,0,1
CCCCCN,1,0,0,0,0,0,0,0
CC(=O)NC1=CC=CC(S)=C1,1,1,1,0,1,0,1,0
O=CC1CCCN(C=O)C1,1,0,2,0,2,0,0,1
CC(=O)NCC1CNCCO1,2,0,2,0,1,0,0,1
COC(=O)C1=CC=CC=N1,1,0,2,0,1,0,1,0
C1CC2(CCOCC2)CN1,1,0,1,0,0,0,0,2
NC1=NC2=CC=CC=C2S1,2,1,0,0,0,0,2,0
CC(O)CS,0,1,1,0,0,0,0,0
CC1(C)CCOCC1,0,0,1,0,0,0,0,1
O=CNCC1=C[NH]N=C1,3,0,1,0,1,0,1,0
CNC(=O)NC1=NC=CS1,3,1,1,0,1,0,1,0
CNC(=O)C1CCCN(C)C1,2,0,1,0,1,0,0,1
NC1=CC=C2C=C[NH]C2=C1,2,0,0,0,0,0,2,0
NC1=CC=CC=C1CO,1,0,1,0,0,0,1,0
CC(=O)CCN,1,0,1,0,1,0,0,0
CCCN1CCCCC1=O,1,0,1,0,1,0,0,1
O=C1C=C2CCCCC2=N[NH]1,2,0,1,0,1,0,1,1
C1=CC=C2OCCNCC2=C1,1,0,1,0,0,0,1,1
COCCNC=O,1,0,2,0,1,0,0,0
COCC(=O)NC1=CC=CC=C1,1,0,2,0,1,0,1,0
C1COCSN1,1,1,1,0,0,0,0,1
CC1=N[NH]C(C)=C1CN,3,0,0,0,0,0,1,0
CNC1=CC(N)=CC=C1F,2,0,0,1,0,0,1,0
O=C1NCCC1S,1,1,1,0,1,0,0,1
C1=CN=C2C=CC=NC2=C1,2,0,0,0,0,0,2,0
O=[SH](=O)NCCO,1,1,3,0,2,0,0,0
NC1=C2N=CSC2=CC=C1,2,1,0,0,0,0,2,0
NC1=CSC=N1,2,1,0,0,0,0,1,0
CC1=CC(N)=CC=N1,2,0,0,0,0,0,1,0
NC1=NC=CO1,2,0,1,0,0,0,1,0
C1CC2OCCC2CN1,1,0,1,0,0,0,0,2
C1=CC=C(N2CCCCC2)C=C1,1,0,0,0,0,0,1,1
CCN(C)C(=O)C1=CN=CS1,2,1,1,0,1,0,1,0
NC1=NOC=N1,3,0,1,0,0,0,1,0
CCNC(=O)NC1=CC=C(F)C=C1,2,0,1,1,1,0,1,0
CC1=CC=C(C)N1C,1,0,0,0,0,0,1,0
CCNC(=O)NC1=NN=CS1,4,1,1,0,1,0,1,0
CCOC(=O)C1=CN=CS1,1,1,2,0,1,0,1,0
C1=CN=C(N2CCNCC2)C=C1,3,0,0,0,0,0,1,1
C1=CC=C(C2=NC=CO2)C=C1,1,0,1,0,0,0,2,0
CC1CNC(=O)CN1,2,0,1,0,1,0,0,1
CNC1=CC=C(NC)C=C1,2,0,0,0,0,0,1,0
COC1=CC=CC(F)=C1,0,0,1,1,0,0,1,0
CC(N)C1=NN=CO1,3,0,1,0,0,0,1,0
O=C(C1=CC=CC=C1)N1CCC1,1,0,1,0,1,0,1,1
CCNC1=CC=C(N)C=C1,2,0,0,0,0,0,1,0
CCN1CCCC1C,1,0,0,0,0,0,0,1
CC(C)(C)CN,1,0,0,0,0,0,0,0
CC(=O)NC1=CC(C)=N[NH]1,3,0,1,0,1,0,1,0
CC1=C(C)C(N)=CC=C1,1,0,0,0,0,0,1,0
O=C(NC1=CC=CC=C1)N1CCNCC1,3,0,1,0,1,0,1,1
C1=CN2CCOCC2=N1,2,0,1,0,0,0,1,1
CC1=CSC(N)=C1,1,1,0,0,0,0,1,0
CC(=O)C1=CC=CO1,0,0,2,0,1,0,1,0
OC1=NNCC=C1,2,0,1,0,2,0,0,1
CCN(C)CC1=CC=CC=C1,1,0,0,0,0,0,1,0
OC1=CC=CC=C1S,0,1,1,0,0,0,1,0
NCC(=O)NC1=NC=CS1,3,1,1,0,1,0,1,0
NC1=CC=CC2=NC=CC=C12,2,0,0,0,0,0,2,0
O=CNC1=CC=NO1,2,0,2,0,1,0,1,0
CC(C)NC(=O)N1CCCCC1,2,0,1,0,1,0,0,1
OCCOC1=CC=CC=C1,0,0,2,0,0,0,1,0
CCCCN(C)C,1,0,0,0,0,0,0,0
C1N=NNCN1,4,0,0,0,1,0,0,1
NC(=O)CC1=NC=CS1,2,1,1,0,1,0,1,0
CNC(=O)C1=CC=C(NC)C=C1,2,0,1,0,1,0,1,0
COC(=O)C1=CC=CN=C1,1,0,2,0,1,0,1,0
CCN1CCOC1=O,1,0,2,0,1,0,0,1
OCC1C=CCCN1,1,0,1,0,1,0,0,1
O=C1CNCCN1C1=CC=CC=C1,2,0,1,0,1,0,1,1
NCC(=O)C1=CC=CC=C1,1,0,1,0,1,0,1,0
CSC1=CC=C(C)C=C1,0,1,0,0,0,0,1,0
CNC(=O)CC1=NOCC1,2,0,2,0,2,0,0,1
O=CCCC1=NC=NO1,2,0,2,0,1,0,1,0
CCN(C)C(=O)C1=CC=CN=C1,2,0,1,0,1,0,1,0
CCNC(=O)NC1=N[NH]C=C1,4,0,1,0,1,0,1,0
CN(C)S(N)(=O)=O,2,1,2,0,2,0,0,0
O=CC1=CC=C(O)N=C1,1,0,2,0,1,0,1,0
CC1=CC=C(N)C(F)=C1,1,0,0,1,0,0,1,0
CC1=C(C)N=CN=C1,2,0,0,0,0,0,1,0
CC1=CC(O)=NC=N1,2,0,1,0,0,0,1,0
C1=CC2CCC(C1)N2,1,0,0,0,1,0,0,2
CN1C=NC2=CC=CN=C21,3,0,0,0,0,0,2,0
CCN1C(=O)CC2NCCC21,2,0,1,0,1,0,0,2
O=CC1=C[NH]C(=O)C=C1,1,0,2,0,2,0,1,0
CCC(=O)C1=CC=CC=C1,0,0,1,0,1,0,1,0
CC1=CC=CC(C)=C1O,0,0,1,0,0,0,1,0
CNCC1=CN=CS1,2,1,0,0,0,0,1,0
NC1=CC=C[NH]C1=O,2,0,1,0,1,0,1,0
CC(=O)NCC1CCNC1,2,0,1,0,1,0,0,1
C=N[SH](=O)=O,1,1,2,0,3,0,0,0
C1=CC=C(CC2CCCN2)C=C1,1,0,0,0,0,0,1,1
O=CNCC(=O)N1CCCCC1,2,0,2,0,2,0,0,1
FC1=C(F)C=C(Cl)C=C1,0,0,0,3,0,0,1,0
COCC(=O)N1CCNCC1,2,0,2,0,1,0,0,1
CNC1=CC=NO1,2,0,1,0,0,0,1,0
CNC1=CC=CN=N1,3,0,0,0,0,0,1,0
CNC(=O)C1=C(C)OC=C1,1,0,2,0,1,0,1,0
O=C1CC=NN1,2,0,1,0,2,0,0,1
CCNC(=O)C1=CC=CC=C1F,1,0,1,1,1,0,1,0
ClC1=C(Br)C=CC=C1,0,0,0,2,0,0,1,0
O=CCC1=CC=CC(O)=C1,0,0,2,0,1,0,1,0
CNC(=O)C1=CC=C(C)S1,1,1,1,0,1,0,1,0
C1CC2C3CCC(C3)C2C1,0,0,0,0,0,0,0,3
CN(C)CC1=CSC=N1,2,1,0,0,0,0,1,0
NC1=CC=C(F)C=C1O,1,0,1,1,0,0,1,0
CS(=O)(=O)NCCO,1,1,3,0,2,0,0,0
C1=C2COCCC2=N[NH]1,2,0,1,0,0,0,1,1
CCNCCO,1,0,1,0,0,0,0,0
C1=NC=NC(N2CCNCC2)=C1,4,0,0,0,0,0,1,1
CCC(=O)N1CCC(C)CC1,1,0,1,0,1,0,0,1
CC1CCCC2=CC=CC=C21,0,0,0,0,0,0,1,1
CC(C)N1C=CN=C1,2,0,0,0,0,0,1,0
CC(=O)NCC1=NC=N[NH]1,4,0,1,0,1,0,1,0
CC(=O)N1CCN(S)CC1,2,1,1,0,1,0,0,1
CN(C)C(=O)C1=C[NH]N=C1,3,0,1,0,1,0,1,0
CC1=CNCN=C1C,2,0,0,0,2,0,0,1
CNC(=O)NC1CCCNC1=O,3,0,2,0,2,0,0,1
O=CC1=CC=CN=C1O,1,0,2,0,1,0,1,0
CNC(=O)COC=O,1,0,3,0,2,0,0,0
C1=NCN=CO1,2,0,1,0,2,0,0,1
CN1CCN(C)C(=O)C1,2,0,1,0,1,0,0,1
NS(=O)(=O)N1CCCC1,2,1,2,0,2,0,0,1
O=CC1=CN=C[NH]C1=O,2,0,2,0,2,0,1,0
CCCN1C=CN=C1,2,0,0,0,0,0,1,0
NS(=O)(=O)C1=CC=CC(Cl)=C1,1,1,2,1,2,0,1,0
C1CCC2(C1)OCCO2,0,0,2,0,0,0,0,2
CNC(=O)C1=CC=CC=C1S,1,1,1,0,1,0,1,0
OCC1CCNC1,1,0,1,0,0,0,0,1
CC1CC2=CC=CC=C2C1,0,0,0,0,0,0,1,1
SC1=CN=CC=C1,1,1,0,0,0,0,1,0
CNC1CC=CCC1,1,0,0,0,1,0,0,1
NS(=O)(=O)C1=C[NH]N=C1,3,1,2,0,2,0,1,0
CCNC(=O)NC1CCCC1,2,0,1,0,1,0,0,1
CC1=NC=CC=C1Br,1,0,0,1,0,0,1,0
CC1=CN=CC(N)=C1,2,0,0,0,0,0,1,0
O=CC1CC=CCC1,0,0,1,0,2,0,0,1
CCN1C=C(C)C=N1,2,0,0,0,0,0,1,0
O=C(O)C1=COC=N1,1,0,3,0,1,0,1,0
CC(C)NC(=O)N(C)C,2,0,1,0,1,0,0,0
CCNC(=O)NCCO,2,0,2,0,1,0,0,0
CNC(=O)C1=CN=C[NH]C1=O,3,0,2,0,2,0,1,0
O=[SH](=O)N1CC=CCC1,1,1,2,0,3,0,0,1
C1=CC=C(OC2=CC=CC=N2)C=C1,1,0,1,0,0,0,2,0
CCNC1=CC=CC=C1Cl,1,0,0,1,0,0,1,0
CCC(=O)NC1=CC=C(N)C=C1,2,0,1,0,1,0,1,0
CC1=CC=CC(O)=C1C,0,0,1,0,0,0,1,0
CCNC(=O)C1=CC=C[NH]1,2,0,1,0,1,0,1,0
CC1=CC=C(C(N)=O)C=N1,2,0,1,0,1,0,1,0
CCCN(C)CC,1,0,0,0,0,0,0,0
CNC(=O)C1=CC(F)=CC=C1,1,0,1,1,1,0,1,0
CN1C=C2C=CC=CC2=N1,2,0,0,0,0,0,2,0
COC(C)C(N)=O,1,0,2,0,1,0,0,0
CC1=CC=C(OC=O)C=C1,0,0,2,0,1,0,1,0
CNCC1=NC=CO1,2,0,1,0,0,0,1,0
N=C1[NH]C=C[NH]1,3,0,0,0,1,0,1,0
O=CNCC1=NN=C[NH]1,4,0,1,0,1,0,1,0
CCC1OCCNC1=O,1,0,2,0,1,0,0,1
CC1CCC2=CC=CC=C2N1,1,0,0,0,0,0,1,1
CNC(=O)C1CNCCO1,2,0,2,0,1,0,0,1
CCC(=O)NCC1=CC=CN=C1,2,0,1,0,1,0,1,0
C=NC(=O)CC,1,0,1,0,2,0,0,0
CC(=O)NCCC1=CC=CC=C1,1,0,1,0,1,0,1,0
CNC1CNC(=O)C1,2,0,1,0,1,0,0,1
CC1=NC=NC=N1,3,0,0,0,0,0,1,0
O=CNCC1=CSC=N1,2,1,1,0,1,0,1,0
C1=CC=C(N2C=NN=C2)C=C1,3,0,0,0,0,0,2,0
NC(=O)NC1CCNC1=O,3,0,2,0,2,0,0,1
NC(=O)C1=CC(F)=CC=C1,1,0,1,1,1,0,1,0
CN(C)C(=O)C1CCNCC1,2,0,1,0,1,0,0,1
O=C1C=CC=CO1,0,0,2,0,1,0,1,0
CC1CCCNC1C,1,0,0,0,0,0,0,1
CCC1(O)CCNCC1C,1,0,1,0,0,0,0,1
C1CSCCO1,0,1,1,0,0,0,0,1
C1=NC=C2CCNC2=C1,2,0,0,0,0,0,1,1
SCCOC1=CC=CC=C1,0,1,1,0,0,0,1,0
CC(=O)CCC(N)=O,1,0,2,0,2,0,0,0
CCC(=O)NC1=CC=CC=N1,2,0,1,0,1,0,1,0
CNCC1=CC=NO1,2,0,1,0,0,0,1,0
O=C(C1=CC=CN=C1)N1CCCCC1,2,0,1,0,1,0,1,1
CC1=CC(O)=CS1,0,1,1,0,0,0,1,0
CC1=CC=CC(=O)N1C,1,0,1,0,1,0,1,0
C1=CNSN=C1,2,1,0,0,2,0,0,1
O=C1CCC2(CCNCC2)CN1,2,0,1,0,1,0,0,2
CNCC1=CC(C)=CC=C1,1,0,0,0,0,0,1,0
C1=CC2=NC=CN2N=C1,3,0,0,0,0,0,2,0
C#CCN[SH](=O)=O,1,1,2,0,2,1,0,0
OCO,0,0,2,0,0,0,0,0
NC(=O)NC1CCCNC1=O,3,0,2,0,2,0,0,1
CCCC(=O)NC(C)C,1,0,1,0,1,0,0,0
CC(=O)NCC1=CC=CC=C1O,1,0,2,0,1,0,1,0
CSC1=NC=CC=C1,1,1,0,0,0,0,1,0
CCNC(=O)C1=CN=CN=C1,3,0,1,0,1,0,1,0
CC1=CC=CC2=CC=CC=C12,0,0,0,0,0,0,2,0
O=C1OCC2=CC=CC=C12,0,0,2,0,1,0,1,1
O=C1C=C2CCCCC2=C[NH]1,1,0,1,0,1,0,1,1
O=CCN1C=NC=CC1=O,2,0,2,0,2,0,1,0
CN(C)C(=O)CNC=O,2,0,2,0,2,0,0,0
C1=CC=C(C2=CSC=C2)C=C1,0,1,0,0,0,0,2,0
O=CNCC1CCCC1,1,0,1,0,1,0,0,1
NC1CCN(S)CC1,2,1,0,0,0,0,0,1
CCC(=O)NC1=CC=CC(Cl)=C1,1,0,1,1,1,0,1,0
OC1=NCCN1,2,0,1,0,1,0,0,1
OCC1=NC=CS1,1,1,1,0,0,0,1,0
CSC1=NC=CC=N1,2,1,0,0,0,0,1,0
O=CNC1CCCNC1=O,2,0,2,0,2,0,0,1
C1CC2CNCCN2C1,2,0,0,0,0,0,0,2
O=[SH](=O)C1=CC=CC(Cl)=C1,0,1,2,1,2,0,1,0
CCNCC=O,1,0,1,0,1,0,0,0
CNC1=CC(C=O)=CC=C1,1,0,1,0,1,0,1,0
OC1=NC=CC=C1Cl,1,0,1,1,0,0,1,0
NC(=O)C1CNCCO1,2,0,2,0,1,0,0,1
CCNC(=O)C1=CC=CN=C1N,3,0,1,0,1,0,1,0
CCNC(=O)C1=CC=CC=C1O,1,0,2,0,1,0,1,0
CCC1=CN=CS1,1,1,0,0,0,0,1,0
CN(C)CCCO,1,0,1,0,0,0,0,0
NC(=O)NC1=CN=CN=C1,4,0,1,0,1,0,1,0
CC1=CC(CNC=O)=CC=C1,1,0,1,0,1,0,1,0
O=CN1C=CCC1,1,0,1,0,2,0,0,1
CCSC1=NN=CN1C,3,1,0,0,0,0,1,0
C1CCC2CC2C1,0,0,0,0,0,0,0,2
C1=CC2=C(CCOC2)S1,0,1,1,0,0,0,1,1
CC1=CCCN=C1,1,0,0,0,2,0,0,1
CCNC(=O)C1=CN=C[NH]1,3,0,1,0,1,0,1,0
COC(=O)C1=N[NH]C=N1,3,0,2,0,1,0,1,0
NC(=O)NCC1=NC=NO1,4,0,2,0,1,0,1,0
CC1(C)CNCCO1,1,0,1,0,0,0,0,1
O=C(O)C1=CSN=N1,2,1,2,0,1,0,1,0
NC1=CN=CN=C1N,4,0,0,0,0,0,1,0
NC1=CCNCC1,2,0,0,0,1,0,0,1
C=CC1CCCCN1,1,0,0,0,1,0,0,1
CC(=O)NCC1=NC=C[NH]1,3,0,1,0,1,0,1,0
NC(=O)C1CCNC1,2,0,1,0,1,0,0,1
NS(=O)(=O)C1=CC=CC=C1Cl,1,1,2,1,2,0,1,0
CCNC(=O)C1=CC=CC=C1N,2,0,1,0,1,0,1,0
CN1CCC=CCC1,1,0,0,0,1,0,0,1
O=C1[NH]C=NC2=C1CCC2,2,0,1,0,1,0,1,1
COC1=CC=CC(CN)=C1,1,0,1,0,0,0,1,0
CC1=NC(C2=CC=CC=C2)=NO1,2,0,1,0,0,0,2,0
C1CCC2(CC1)CCNCC2,1,0,0,0,0,0,0,2
CN1N=CC2=CC=CC=C21,2,0,0,0,0,0,2,0
O=CNC1CCC1,1,0,1,0,1,0,0,1
CCN1CCCOCC1,1,0,1,0,0,0,0,1
CC(=O)C1CC1,0,0,1,0,1,0,0,1
SCC1=C[NH]C=N1,2,1,0,0,0,0,1,0
CC1=CC(Cl)=CC=C1O,0,0,1,1,0,0,1,0
CC1=N[NH]C(N)=N1,4,0,0,0,0,0,1,0
NNC=O,2,0,1,0,1,0,0,0
CN1CCNC2=CC=CC=C21,2,0,0,0,0,0,1,1
CC1=C(C(=O)O)SC=C1,0,1,2,0,1,0,1,0
CC(=O)NC1=NC=N[NH]1,4,0,1,0,1,0,1,0
CNC1=NN=N[NH]1,5,0,0,0,0,0,1,0
COC1=CC=CC=C1F,0,0,1,1,0,0,1,0
COC(=O)C1=CC=NN1C,2,0,2,0,1,0,1,0
NC(=O)C1=CNCC=C1,2,0,1,0,3,0,0,1
CCNC(=O)CC1=CSC=N1,2,1,1,0,1,0,1,0
CCSC1=NC=N[NH]1,3,1,0,0,0,0,1,0
NC(=O)C1=CC=CC=C1Br,1,0,1,1,1,0,1,0
CNC(=O)C(C)NC,2,0,1,0,1,0,0,0
CC1=CC(N)=CC=C1Cl,1,0,0,1,0,0,1,0
C1=CN=C2CCCC2=C1,1,0,0,0,0,0,1,1
O=CN1CCC2=CC=CC=C2C1,1,0,1,0,1,0,1,1
CNC(=O)CN1C=CC=CC1=O,2,0,2,0,2,0,1,0
CC1=C(C)OCC1,0,0,1,0,1,0,0,1
NC(=O)NC1=NOC=C1,3,0,2,0,1,0,1,0
CCC(=O)NC1=CN=CN=C1,3,0,1,0,1,0,1,0
OC1=CC=CC2=C1CCNC2,1,0,1,0,0,0,1,1
NCC(=O)NC1CCCC1,2,0,1,0,1,0,0,1
CCCNC(=O)CO,1,0,2,0,1,0,0,0
O=C1CCCN1CC1=CC=CC=C1,1,0,1,0,1,0,1,1
CC(=O)N(C)CCN,2,0,1,0,1,0,0,0
O=C1[NH]C=CC2=NC=CC=C12,2,0,1,0,1,0,2,0
O=CN1CCCC2(CCCO2)C1,1,0,2,0,1,0,0,2
CC1=CN=C(C)[NH]1,2,0,0,0,0,0,1,0
COC1=CC=CC2=C1CNCC2,1,0,1,0,0,0,1,1
NCC1CCNC1,2,0,0,0,0,0,0,1
CC1=C(C)SN=N1,2,1,0,0,0,0,1,0
NC1=CN=CNC1,3,0,0,0,2,0,0,1
CC(=O)NC1=CC=C2N=C[NH]C2=C1,3,0,1,0,1,0,2,0
CC(NC(N)=O)C1=CC=CC=C1,2,0,1,0,1,0,1,0
COC(=O)C1=CC=N[NH]1,2,0,2,0,1,0,1,0
C1=C2CCCC2=NO1,1,0,1,0,0,0,1,1
C1=CC=C(CN2C=CN=C2)C=C1,2,0,0,0,0,0,2,0
NC1=CC=C(C(=O)O)C=C1,1,0,2,0,1,0,1,0
C1=NCOC1,1,0,1,0,1,0,0,1
O=C1CC2=CC=CC=C2CN1,1,0,1,0,1,0,1,1
COCCN(C)C,1,0,1,0,0,0,0,0
C#CC1=CC=CC=C1N,1,0,0,0,0,1,1,0
OC1CNCC2=CC=CC=C21,1,0,1,0,0,0,1,1
BrC1=CC=CC(Br)=C1,0,0,0,2,0,0,1,0
CNCC1=CC=CC(O)=C1,1,0,1,0,0,0,1,0
CCC1CCNC1,1,0,0,0,0,0,0,1
C#CC1=CC=C(N)C=C1,1,0,0,0,0,1,1,0
CNC(=O)NCC1=NN=C[NH]1,5,0,1,0,1,0,1,0
C1=C2OCOC2=CS1,0,1,2,0,0,0,1,1
C1=CC=C2C(=C1)CC1=CC=CC=C12,0,0,0,0,0,0,2,1
C1CC2C3CC1C2CN3,1,0,0,0,0,0,0,3
O=C1CCC=CO1,0,0,2,0,2,0,0,1
CC(=O)NCC1=C[NH]C=N1,3,0,1,0,1,0,1,0
O=C1CCNC(=O)N1,2,0,2,0,2,0,0,1
O=[SH](=O)C1=CC=C(O)C=C1,0,1,3,0,2,0,1,0
CC1=CN=CCC1,1,0,0,0,2,0,0,1
CC1=C(Cl)C=CC=C1Cl,0,0,0,2,0,0,1,0
C1=CC2CCC1NN2,2,0,0,0,1,0,0,3
C1=CN=C2SC=NC2=C1,2,1,0,0,0,0,2,0
CC1=NC2=CC=CC=C2N1C,2,0,0,0,0,0,2,0
CC1=CC=NC(S)=C1,1,1,0,0,0,0,1,0
CNCC1=N[NH]C=C1,3,0,0,0,0,0,1,0
CCNC1=CC=CC(Cl)=C1,1,0,0,1,0,0,1,0
C1=CNOC1,1,0,1,0,1,0,0,1
CC1=C(N)C=CC=C1C=O,1,0,1,0,1,0,1,0
C1CCC2OCCC2C1,0,0,1,0,0,0,0,2
NC(=O)CCC1=NC=CO1,2,0,2,0,1,0,1,0
CNC(=O)CN1CCCCC1,2,0,1,0,1,0,0,1
CCC(=O)CN,1,0,1,0,1,0,0,0
CCN1C=NCCC1=O,2,0,1,0,2,0,0,1
NC(=O)CN1CCCS1,2,1,1,0,1,0,0,1
