0,nN,nS,nO,nX,nBondsD,nBondsT,naRing,nARing
id309780,1,0,0,0,0,0,1,1
id309786,1,0,0,0,0,0,1,1
id309790,1,0,0,0,0,0,1,0
id309795,1,0,1,0,0,1,1,0
id309796,1,0,1,0,0,1,1,0
id309800,1,0,1,0,0,1,1,0
id309801,1,0,1,0,0,1,1,0
id309804,1,0,1,0,0,1,1,0
id309805,1,0,1,0,0,1,1,0
id309890,1,0,1,1,1,1,1,0
id309894,1,0,1,0,1,1,1,0
id309895,1,1,1,0,1,1,1,1
id309899,0,0,1,0,1,0,1,0
id309902,1,0,1,1,1,1,1,0
id309903,1,1,1,0,1,1,1,0
id309912,1,1,1,0,1,1,1,0
id309921,1,1,1,0,1,0,1,1
id309937,1,1,1,0,1,0,1,1
id309942,1,1,1,0,1,0,1,1
id309956,1,1,1,0,0,0,1,1
id309958,1,1,1,0,0,0,1,1
id309970,1,0,1,1,1,1,1,0
id309982,1,0,1,0,0,1,1,1
id309988,1,0,1,0,0,1,1,1
id310030,1,1,1,1,1,0,1,1
id310034,1,1,1,1,1,0,1,1
id310058,1,1,1,0,1,0,1,1
id310060,1,1,1,1,1,0,1,1
id310066,1,1,0,1,0,0,1,0
id310068,1,1,0,0,0,0,1,0
id310069,1,1,0,0,0,0,1,0
id310071,1,0,0,1,0,0,1,0
id310074,1,0,0,0,0,0,1,0
id310075,1,1,0,1,0,0,1,0
id310080,1,0,0,0,0,0,1,0
id310081,1,0,1,0,0,0,1,0
id310082,1,0,1,0,0,0,1,0
id310083,1,0,1,1,0,0,1,0
id310085,1,0,0,0,0,0,1,1
id310086,1,0,0,1,0,0,1,0
id310091,1,0,0,1,0,0,1,0
id310093,1,0,1,0,0,0,1,0
id310096,1,0,0,0,0,0,1,0
id310097,1,0,0,1,0,0,1,0
id310098,1,0,0,1,0,0,1,0
id310100,1,0,0,1,0,0,1,0
id310102,1,0,0,1,0,0,1,0
id310103,1,0,0,1,0,0,1,0
id310104,1,1,0,1,0,0,1,0
id310121,1,1,0,0,0,0,1,0
id310124,1,1,1,0,0,0,1,0
id310125,1,1,1,0,0,0,1,0
id310127,1,0,1,1,1,0,1,1
id310130,1,0,1,0,0,0,1,1
id310131,1,1,1,1,0,0,1,1
id310141,1,1,0,0,0,0,1,0
id310184,1,0,1,0,1,0,1,1
id310200,1,0,1,0,0,0,1,1
id310210,1,0,1,0,0,1,1,1
id310211,1,0,1,0,0,0,0,1
id310212,0,0,1,0,1,0,1,1
id310217,1,0,1,0,0,0,0,1
id310230,1,0,1,0,0,1,1,1
id310232,1,0,0,1,1,0,1,1
id310239,1,0,1,0,0,1,1,1
id310241,1,0,0,1,0,1,1,1
id310242,1,0,1,0,0,0,0,1
id310246,1,0,1,0,0,1,1,1
id310250,1,0,0,1,0,1,1,1
id310255,1,0,0,1,0,0,1,0
id310256,1,0,0,0,0,0,1,0
id310281,1,0,0,0,0,0,1,1
id310284,1,0,1,0,0,0,1,0
id310301,1,0,1,0,0,0,1,0
id310306,1,0,1,0,0,0,1,1
id310308,1,0,0,0,0,0,1,1
id310309,1,0,0,0,0,0,1,1
id310311,1,0,1,0,0,0,1,1
id310313,1,0,0,0,0,0,1,0
id310317,1,0,0,0,0,0,1,0
id310320,1,0,0,0,0,0,1,1
id310325,1,0,0,0,0,0,1,1
id310329,1,0,0,0,0,0,1,1
id310335,1,0,1,0,0,0,1,0
id310336,1,0,1,0,0,0,1,0
id310338,1,0,0,1,0,0,1,0
id310340,1,0,1,0,0,0,1,0
id310343,1,0,1,0,0,0,1,0
id310344,1,0,1,1,0,0,1,0
id310345,1,0,0,0,0,0,1,0
id310348,1,0,0,0,0,0,1,0
id310349,1,0,1,0,0,0,1,1
id310359,1,0,0,0,0,0,1,0
id310364,1,0,1,1,0,0,1,0
id310387,1,0,0,0,0,0,1,1
id310388,1,0,0,0,0,0,1,1
id310402,1,0,1,1,0,0,1,0
id310408,1,0,1,1,0,0,1,0
id310412,1,0,1,0,0,0,1,0
id310415,1,0,1,1,0,0,1,0
id310421,1,0,0,0,0,0,1,0
id310423,1,0,1,1,0,0,1,0
id310428,1,0,1,1,0,0,1,0
id310430,1,0,1,0,0,1,1,1
id310431,1,0,1,1,0,0,1,0
id310436,1,0,1,0,1,0,0,1
id310446,1,0,1,1,0,0,1,0
id310447,1,0,1,1,0,0,1,0
id310448,1,0,1,1,0,0,1,0
id310451,1,0,1,1,0,0,1,0
id310461,1,0,1,1,0,0,1,1
id310462,1,0,1,1,0,0,1,0
id310468,1,1,1,0,0,0,1,0
id310469,1,1,0,0,0,0,1,0
id310471,1,1,0,0,0,0,1,0
id310474,1,1,1,0,0,0,1,0
id310475,1,1,1,0,0,0,1,0
id310481,1,1,1,0,0,0,1,0
id310488,1,1,1,0,0,0,1,0
id310496,1,0,1,0,0,0,1,0
id310508,1,0,0,1,0,0,1,0
id310512,1,0,1,0,0,0,1,0
id310514,1,0,0,0,0,0,1,0
id310516,1,0,0,0,0,0,1,0
id310517,1,0,0,0,0,0,1,0
id310519,1,0,0,1,0,0,1,0
id310526,1,0,1,0,0,0,1,0
id310527,1,0,0,0,0,0,1,0
id310529,1,0,0,0,0,0,1,0
id310530,1,0,0,0,0,0,1,0
id310531,1,0,0,1,0,0,1,0
id310533,1,0,0,0,0,0,1,1
id310534,1,0,1,0,0,0,1,0
id310540,1,0,0,0,0,0,1,0
id310541,1,0,0,0,0,0,1,0
id310542,1,0,0,0,0,0,1,0
id310555,1,0,0,0,0,0,1,0
id310560,1,0,0,1,0,0,1,0
id310562,1,0,0,1,0,0,1,0
id310563,1,0,0,0,0,0,1,1
id310566,1,0,0,0,0,0,1,0
id310567,1,0,0,0,0,0,1,0
id310568,1,0,0,0,0,0,1,0
id310572,1,0,1,0,0,0,1,0
id310577,1,0,1,0,0,0,1,0
id310583,1,0,1,0,0,0,1,0
id310589,1,0,1,0,0,0,1,0
id310605,1,1,0,0,0,0,1,0
id310612,1,0,1,0,0,0,1,0
id310615,1,0,1,0,0,0,1,0
id310622,1,0,1,0,1,0,1,1
id310626,1,0,1,1,0,0,1,1
id310636,1,0,1,0,0,1,1,0
id310639,1,1,1,1,0,1,1,0
id310640,1,1,1,0,0,1,1,0
id310729,1,0,1,0,0,1,1,1
id310730,1,0,1,0,0,1,1,1
id310731,1,0,0,1,0,1,1,0
id310732,1,0,0,1,0,1,1,0
id310734,1,0,0,1,0,1,1,0
id310738,1,0,1,1,0,1,1,1
id310743,1,0,1,0,0,1,1,0
id310744,1,0,1,0,0,1,1,1
id310749,1,0,1,1,1,0,1,0
id310776,1,0,0,1,0,1,1,0
id310777,1,0,0,1,0,1,1,0
id310778,1,0,0,1,0,1,1,0
id310780,1,0,0,1,0,1,1,0
id310788,1,0,1,1,0,0,1,1
id310790,1,1,1,0,1,1,1,1
id310792,1,0,1,0,0,0,1,1
id310798,1,0,1,0,0,0,1,0
id310799,1,0,1,0,0,0,1,0
id310800,1,0,1,0,0,0,1,0
id310804,1,0,1,0,0,0,1,0
id310807,1,0,1,1,0,0,1,0
id310808,1,0,1,1,0,0,1,0
id310811,1,0,1,1,1,0,1,1
id310816,1,0,1,1,0,0,1,0
id310817,1,0,1,1,0,0,1,0
id310820,1,0,1,0,0,0,1,0
id310821,1,0,1,0,0,0,1,0
id310824,1,0,1,0,0,0,1,0
id310831,1,0,1,0,0,0,1,0
id310835,1,0,1,0,0,0,1,1
id310836,1,0,1,0,0,0,1,1
id310838,1,0,1,0,0,0,1,0
id310842,1,0,1,0,0,0,1,0
id310849,1,0,1,1,0,0,1,0
id310853,1,0,1,1,0,0,1,0
id310856,1,0,1,1,0,0,1,0
id310858,1,0,1,0,0,0,1,1
id310862,1,0,1,0,0,0,1,0
id310865,1,0,0,0,0,0,1,0
id310866,1,0,1,0,0,0,1,1
id310877,1,0,0,1,0,0,1,0
id310881,1,0,0,0,0,0,1,1
id310886,1,0,0,1,0,0,1,1
id310892,1,0,0,0,0,0,1,1
id310893,1,0,0,1,0,0,1,1
id310902,1,1,0,0,0,0,1,0
id310913,1,0,1,0,0,0,1,1
id310915,1,0,1,0,0,0,1,0
id310939,1,0,1,0,0,0,1,1
id310945,1,0,1,0,0,0,1,0
id311006,1,0,1,0,1,0,0,1
id311007,1,0,0,0,0,0,1,0
id311008,1,1,1,0,0,0,1,1
id311011,1,0,1,0,0,0,1,1
id311035,1,0,1,0,1,0,1,1
id311038,1,0,1,0,0,0,1,0
id311044,1,0,1,1,0,0,1,0
id311045,1,0,1,1,0,0,1,0
id311047,1,0,1,0,0,0,1,0
id311063,1,1,1,0,1,0,1,1
id311072,1,1,1,1,1,0,1,0
id311129,1,1,1,0,1,1,1,0
id311136,1,1,1,0,1,0,1,1
id311188,1,1,1,1,1,0,1,0
id311205,1,1,1,0,1,1,1,0
id311209,1,1,1,1,1,0,1,0
id311212,1,1,0,1,0,0,1,0
id311254,1,1,0,0,0,0,1,0
id311255,1,1,0,1,0,0,1,0
id311256,1,1,0,1,0,0,1,0
id311266,1,1,0,0,0,1,1,0
id311268,1,0,0,1,0,0,1,0
id311269,1,0,1,0,0,0,1,1
id311270,1,0,0,1,0,0,1,0
id311277,1,0,1,0,1,0,1,1
id311282,1,0,0,1,0,0,1,0
id311283,1,0,0,1,0,0,1,0
id311284,1,0,0,0,0,0,1,0
id311285,1,0,1,0,0,0,1,1
id311286,1,0,1,0,0,0,1,0
id311300,1,0,1,0,0,0,1,0
id311304,1,0,0,0,0,1,1,0
id311307,1,0,1,0,0,0,1,0
id311454,1,0,1,1,1,0,1,0
id311518,1,0,1,1,1,0,1,0
id311593,1,0,0,1,0,0,1,0
id311599,1,0,0,1,0,0,1,0
id311611,1,0,0,1,0,0,1,1
id311612,1,1,0,0,0,0,1,0
id311617,1,1,1,1,0,0,1,0
id311618,1,0,0,0,0,0,1,1
id311637,1,1,1,0,0,0,1,0
id311639,1,0,1,1,0,0,1,0
id311643,1,0,1,0,0,0,1,1
id311655,1,1,1,1,0,0,1,0
id311664,1,0,1,1,0,0,1,1
id311676,1,1,1,0,0,0,1,1
id311685,1,0,1,0,0,0,1,0
id311689,1,0,0,0,0,0,1,0
id311691,1,0,1,0,0,1,1,0
id311718,1,0,0,0,0,0,1,1
id311720,1,0,0,0,0,0,1,1
id311722,1,0,0,0,0,0,1,0
id311724,1,0,0,0,0,0,1,0
id311726,1,0,1,1,0,0,1,1
id311728,1,0,0,1,0,0,1,1
id311731,1,0,0,1,0,0,1,0
id311745,1,0,0,0,0,0,1,0
id311748,1,0,0,0,0,0,1,0
id311755,1,0,1,0,0,0,1,1
id311756,1,1,1,0,0,0,1,0
id311792,1,0,1,0,1,0,1,1
id311922,1,1,1,0,1,0,1,1
id312056,1,1,1,0,1,0,1,1
id312074,1,1,1,1,1,0,1,1
id312102,1,0,1,1,1,0,1,1
id312114,1,1,1,0,1,0,1,1
id312164,1,0,0,0,0,1,1,0
id312165,1,0,0,0,0,0,1,0
id312166,1,0,1,0,0,0,1,0
id312178,1,0,1,0,0,0,1,0
id312181,1,0,1,0,0,0,1,1
id312182,1,0,1,0,0,0,1,1
id312195,1,0,1,0,0,1,1,1
id312198,1,0,1,0,0,0,1,1
id312199,1,0,1,0,0,0,1,1
id312201,1,0,1,0,0,0,1,1
id312202,1,0,1,0,0,1,1,1
id312205,1,0,1,0,0,0,1,1
id312209,1,0,0,1,0,0,1,0
id312217,1,0,1,1,0,0,1,0
id312225,1,0,1,0,0,0,1,0
id312228,1,0,1,0,0,0,1,0
id312229,1,0,1,0,0,0,1,0
id312235,1,0,0,0,0,0,1,0
id312237,1,0,0,1,1,0,1,0
id312240,1,0,0,0,1,0,1,0
id312244,1,0,1,0,0,0,1,0
id312257,1,1,1,0,0,0,1,1
id312258,1,1,1,0,0,0,1,1
id312287,1,0,1,1,1,0,1,1
id312379,1,0,1,1,1,0,1,1
id312382,1,0,1,0,1,0,1,1
id312461,1,0,0,0,0,0,1,1
id312495,1,0,1,0,0,0,1,1
id312524,1,1,1,1,1,1,1,0
id312525,1,1,1,0,0,0,1,1
id312526,1,0,1,0,0,0,1,0
id312550,1,0,1,0,0,0,1,1
id312559,1,0,1,0,0,0,1,1
id312585,1,0,1,0,0,0,1,1
id312603,1,0,1,0,1,0,1,1
id312612,1,0,0,0,0,0,1,0
id312717,1,1,1,0,0,0,1,1
id312720,1,1,0,0,0,0,1,0
id312721,1,1,0,0,0,0,1,0
id312725,1,1,0,0,0,0,1,0
id312726,1,1,0,0,0,0,1,0
id312728,1,0,1,0,0,1,1,0
id312730,1,0,1,0,0,1,1,0
id312732,1,0,1,0,0,1,1,1
id312734,1,0,1,0,0,1,1,0
id312735,1,0,1,0,0,1,1,0
id312736,1,0,1,0,0,1,1,1
id312737,1,0,1,0,0,1,1,0
id312738,1,0,1,0,0,1,1,0
id312739,1,0,1,0,0,1,1,0
id312740,1,0,1,0,0,1,1,1
id312741,1,0,1,0,0,1,1,0
id312742,1,0,1,0,0,1,1,0
id312743,1,0,1,0,0,1,1,0
id312745,1,0,0,1,0,1,1,0
id312746,1,0,0,1,0,1,1,0
id312747,1,0,1,0,0,1,1,1
id312748,1,0,1,0,0,1,1,0
id312749,1,0,1,0,0,1,1,0
id312750,1,0,1,0,0,1,1,0
id312751,1,0,1,0,0,1,1,0
id312753,1,0,1,1,0,1,1,1
id312756,1,1,0,1,0,1,1,0
id312757,1,0,0,1,0,1,1,0
id312758,1,0,0,1,0,1,1,0
id312763,1,0,0,0,0,0,1,0
id312772,1,0,1,0,1,0,1,1
id312775,1,0,0,0,1,1,1,0
id312781,1,0,1,0,0,0,1,1
id312782,1,0,1,1,0,0,1,1
id312785,1,0,1,0,0,1,0,1
id312790,1,0,1,0,0,0,1,1
id312795,1,0,1,1,0,0,1,1
id312798,1,0,1,0,0,0,1,1
id312799,1,0,1,0,0,1,0,1
id312805,1,0,0,0,0,0,1,1
id312810,1,0,0,0,0,0,1,1
id312819,1,0,1,0,0,0,1,1
id312820,1,0,1,0,0,0,1,1
id312821,1,0,1,1,0,0,1,1
id312826,1,0,1,0,0,1,1,1
id312842,0,0,1,0,1,0,1,1
id312849,0,0,1,1,1,0,1,1
id312854,0,0,1,0,1,0,1,1
id312855,0,0,1,1,1,0,1,1
id312858,1,0,1,0,0,0,1,0
id312860,1,0,1,1,0,0,1,0
id312861,1,0,1,1,0,0,1,0
id312862,1,0,1,1,0,0,1,0
id312872,1,0,1,1,0,0,1,0
id312877,1,0,1,0,0,0,1,0
id312878,1,0,1,0,0,0,1,0
id312886,1,0,1,0,0,0,1,0
id312887,1,0,1,0,0,0,1,0
id312966,1,0,1,0,0,0,1,1
id312993,1,0,1,0,0,0,1,1
id312997,1,0,1,0,1,0,1,1
id313043,1,0,1,0,1,1,1,0
id313084,1,1,1,0,1,1,1,1
id313177,1,1,1,0,0,0,1,0
id313241,1,0,0,1,0,0,1,0
id313253,1,0,0,1,0,0,1,0
id313256,1,0,1,1,0,0,1,0
id313266,1,1,1,0,0,0,1,1
id313268,1,0,0,1,0,0,1,1
id313269,1,0,0,1,0,0,1,1
id313270,1,0,0,1,0,0,1,1
id313271,1,0,0,1,0,0,1,1
id313272,1,0,0,1,0,0,1,1
id313275,1,0,0,1,0,0,1,1
id313276,1,0,0,1,0,0,1,1
id313278,1,0,0,0,0,0,1,1
id313279,1,0,0,0,0,0,1,1
id313281,1,1,1,0,0,1,1,0
id313283,1,1,1,0,0,1,1,0
id313284,1,1,1,0,0,1,1,0
id313286,1,1,1,0,0,1,1,0
id313292,1,1,1,1,1,0,1,1
id313294,0,0,1,1,0,0,1,0
id313314,1,1,1,0,1,0,1,1
id313341,1,1,1,1,1,0,1,1
id313355,1,1,1,0,1,0,1,1
id313392,1,0,1,1,1,0,1,1
id313400,1,1,1,1,1,0,1,1
id313439,1,0,1,1,1,0,1,1
id313444,1,0,1,1,1,0,1,1
id313458,1,1,1,0,1,0,1,1
id313476,1,1,1,1,1,0,1,1
id313478,1,1,1,1,1,0,1,1
id313578,1,1,1,0,1,0,1,1
id313677,1,1,1,0,1,0,1,1
id313703,1,0,1,0,0,0,1,0
id313707,1,0,0,0,0,0,1,1
id313717,1,0,0,0,0,0,1,0
id313742,1,1,1,0,1,0,1,1
id313762,1,1,1,0,1,0,1,1
id313767,1,1,1,0,1,0,1,1
id313810,1,0,1,0,0,0,1,1
id313811,1,0,1,0,0,0,1,1
id313812,1,0,1,0,0,0,1,1
id313822,1,0,1,0,0,0,1,1
id313826,1,0,1,0,0,0,1,1
id313852,1,1,0,0,0,0,1,0
id313853,1,0,0,1,0,0,1,0
id313857,1,0,1,0,0,0,1,1
id313860,1,0,1,1,0,0,1,0
id313869,1,0,0,1,0,0,1,0
id313898,1,0,1,0,1,0,1,1
id313904,1,1,1,1,0,0,1,0
id313906,1,1,1,0,0,0,1,1
id313907,1,1,1,0,0,0,1,0
id313910,1,1,1,1,0,0,1,0
id313911,1,1,1,1,0,0,1,0
id313914,1,1,1,0,0,1,1,0
id313923,1,0,1,0,0,0,1,1
id313925,0,1,1,1,1,0,1,0
id313926,0,1,1,0,1,0,1,1
id313928,0,1,1,0,1,0,1,0
id313929,0,1,1,0,1,0,1,0
id313930,0,1,1,0,1,0,1,1
id313931,0,1,1,0,1,0,1,0
id313932,0,1,1,0,1,0,1,0
id313933,0,1,1,1,1,0,1,0
id313937,0,1,1,1,1,0,1,0
id313940,1,0,0,0,0,0,1,1
id313943,1,0,0,0,0,0,1,1
id313955,1,0,0,0,0,0,1,0
id313966,1,0,0,0,0,0,1,1
id314003,1,1,1,0,1,0,1,1
id314030,1,0,1,1,1,0,0,1
id314047,1,0,1,0,0,0,1,1
id314050,1,1,1,1,0,0,1,1
id314055,1,1,0,0,0,0,1,0
id314057,1,0,0,0,0,0,1,0
id314064,1,0,1,0,0,1,1,1
id314079,1,0,0,0,0,1,1,0
id314080,1,0,1,0,0,1,1,1
id314081,1,0,1,0,0,1,1,1
id314082,1,0,1,0,0,1,1,1
id314094,1,0,0,0,0,1,1,0
id314095,1,0,0,0,0,1,1,0
id314096,1,0,0,0,0,1,1,0
id314103,1,0,1,0,0,1,1,0
id314109,1,1,1,0,0,0,1,1
id314138,1,0,0,0,0,0,1,0
id314143,1,1,1,1,1,0,1,1
id314145,1,1,1,0,0,0,1,1
id314147,1,0,1,0,0,0,1,1
id314154,1,1,1,0,0,0,1,0
id314164,1,0,1,0,0,0,1,1
id314191,1,0,1,1,1,0,1,0
id314194,1,0,1,0,1,1,1,0
id314206,1,0,1,0,1,0,0,1
id314209,0,0,1,0,1,0,1,1
id314211,1,0,1,0,0,0,1,0
id314212,1,1,0,0,0,0,1,0
id314213,1,0,1,0,0,0,1,1
id314218,1,1,1,1,1,0,1,0
id314230,1,0,1,0,0,0,1,1
id314232,1,0,1,0,0,0,1,1
id314238,1,1,1,0,1,0,1,1
id314246,1,0,1,1,0,0,1,1
id314247,1,0,1,0,0,0,1,1
id314249,1,0,0,0,0,0,1,1
id314252,1,0,1,1,0,0,1,0
id314290,1,0,1,0,0,1,1,1
id314337,1,1,1,0,1,0,1,1
id314339,1,1,0,0,0,1,1,1
id314346,1,0,1,0,0,1,1,1
id314348,1,1,0,0,0,1,1,0
id314351,1,1,0,0,0,0,1,0
id314353,1,1,1,0,1,1,1,1
id314354,1,0,1,0,0,1,1,0
id314358,1,1,0,0,0,0,1,0
id314362,1,1,1,0,1,1,1,1
id314363,1,1,1,1,1,1,1,0
id314375,1,1,0,0,0,0,1,0
id314382,1,0,1,0,0,1,1,1
id314383,1,0,1,0,0,1,1,1
id314384,1,1,0,0,0,1,1,0
id314385,1,1,1,0,1,1,1,0
id314388,1,0,1,0,0,1,1,1
id314389,1,0,0,1,0,1,1,1
id314390,1,0,1,0,0,1,1,1
id314391,1,0,1,0,0,1,1,1
id314415,1,0,1,1,0,1,1,1
id314416,1,0,0,0,0,0,1,0
id314426,1,1,1,1,0,0,1,1
id314428,1,0,1,0,1,0,1,1
id314432,1,1,1,1,0,0,1,1
id314435,1,1,1,0,0,1,1,1
id314437,1,1,1,0,0,1,1,1
id314438,1,1,1,0,0,0,1,1
id314439,1,0,1,0,0,0,1,0
id314440,1,1,1,1,0,0,1,1
id314441,1,1,1,1,0,0,1,1
id314459,1,1,1,0,0,0,1,1
id314461,1,1,1,0,1,0,0,1
id314478,1,0,1,1,0,0,1,0
id314482,0,0,1,0,1,0,1,0
id314488,1,1,1,1,0,0,1,1
id314490,1,0,1,0,0,1,1,1
id314491,1,0,1,0,0,1,1,1
id314492,1,0,1,0,0,1,1,1
id314493,1,0,1,0,0,1,1,1
id314494,1,0,1,0,0,1,1,1
id314495,1,0,1,0,0,1,1,1
id314496,1,0,1,0,0,1,1,1
id314498,1,0,1,0,0,1,1,1
id314499,1,0,1,0,0,1,1,1
id314500,1,0,1,0,0,1,1,1
id314501,1,0,1,0,0,1,1,1
id314503,1,0,1,0,0,1,1,1
id314504,1,0,1,0,0,1,1,1
id314505,1,0,1,0,0,1,1,1
id314506,1,0,1,0,0,1,1,1
id314507,1,0,1,0,0,1,1,1
id314508,1,0,1,0,0,1,1,1
id314509,1,0,1,0,0,1,1,1
id314510,1,0,1,0,0,1,1,1
id314511,1,0,1,0,0,1,1,1
id314512,1,0,1,0,0,1,1,1
id314513,1,0,1,0,0,1,1,1
id314515,1,0,1,0,0,1,1,1
id314517,1,0,1,0,0,1,1,1
id314518,1,0,1,0,0,1,1,1
id314519,1,0,1,0,0,1,1,1
id314520,1,0,1,0,0,1,1,1
id314521,1,0,1,0,0,1,1,1
id314522,1,0,1,0,0,1,1,1
id314523,1,0,1,0,0,1,1,1
id314525,1,0,1,0,1,0,0,1
id314528,1,0,0,1,0,0,1,1
id314530,1,0,1,1,0,0,1,0
id314534,1,0,1,1,0,0,1,0
id314542,1,0,1,1,0,0,1,0
id314543,1,1,0,0,0,1,1,1
id314549,1,0,1,0,0,0,1,0
id314554,1,1,1,1,1,1,1,0
id314561,1,0,0,1,0,0,1,0
id314571,1,1,1,0,1,1,1,1
id314580,1,0,0,0,0,0,1,1
id314589,1,0,1,0,1,0,0,1
id314590,1,0,1,0,1,0,0,1
id314592,1,0,1,0,1,0,0,1
id314597,1,0,1,0,1,1,1,0
id314598,1,1,1,0,1,1,1,0
id314604,1,1,1,0,1,1,1,0
id314605,1,0,0,1,0,1,1,0
id314606,1,0,0,1,0,1,1,0
id314607,1,0,0,0,0,1,1,0
id314608,1,0,0,1,0,1,1,0
id314609,1,0,0,0,0,1,1,0
id314610,1,0,0,0,0,1,1,0
id314612,1,0,0,1,0,1,1,0
id314614,1,0,1,1,0,1,1,1
id314615,1,0,1,1,0,1,1,1
id314616,1,0,1,1,0,1,1,1
id314619,1,0,0,0,0,1,1,0
id314620,1,0,0,0,0,1,1,0
id314621,1,0,0,0,0,1,1,0
id314624,1,1,1,1,1,1,1,0
id314629,1,0,1,0,0,1,1,0
id314630,1,0,1,0,0,1,1,0
id314631,1,0,1,0,0,1,1,0
id314635,1,0,1,0,0,1,1,0
id314636,1,0,1,0,0,1,1,0
id314637,1,1,1,0,1,1,1,0
id314641,1,1,1,0,1,1,1,1
id314645,1,0,1,0,0,1,1,1
id314651,1,0,0,1,0,1,1,1
id314654,1,1,0,0,1,1,1,0
id314655,1,1,1,0,0,1,1,0
id314673,1,1,1,0,0,0,1,1
id314683,1,0,1,1,0,1,1,1
id314698,1,0,0,1,0,0,1,0
id314701,1,0,0,0,0,0,1,0
id314710,1,0,0,1,0,0,1,0
id314714,1,0,0,1,0,0,1,0
id314717,1,0,0,1,0,0,1,0
id314723,1,0,1,0,0,1,1,1
id314725,1,0,1,0,0,1,1,1
id314736,1,1,1,0,1,1,1,0
id314750,1,0,0,0,0,1,1,0
id314755,1,0,1,1,0,0,1,0
id314758,1,0,0,1,0,0,1,0
id314759,1,0,0,1,0,0,1,0
id314760,1,0,0,1,0,0,1,0
id314769,1,1,1,0,0,0,1,0
id314797,1,0,0,0,1,0,1,1
id314811,1,0,1,1,1,0,1,0
id314860,1,0,0,1,0,1,1,0
id314861,1,0,0,0,0,1,1,0
id314862,1,0,0,0,0,1,1,0
id314863,1,0,0,0,0,1,1,0
id314864,1,0,0,1,0,1,1,0
id314865,1,0,0,1,0,1,1,0
id314866,1,0,0,0,0,1,1,0
id314867,1,0,0,0,0,1,1,0
id314881,1,0,1,0,0,1,1,1
id314889,1,1,0,0,0,0,1,0
id314898,1,1,1,0,0,0,1,1
id314899,1,1,1,1,1,0,1,1
id314901,1,0,0,0,0,0,1,1
id314904,1,1,1,1,1,0,1,1
id314910,1,0,1,0,0,0,1,0
id314918,1,0,1,1,1,1,1,0
id314936,1,0,0,0,0,1,1,0
id314937,1,0,0,0,0,1,1,0
id314938,1,0,0,0,0,1,1,0
id314940,1,0,0,0,0,1,1,0
id314941,1,0,0,0,0,1,1,0
id314947,1,1,1,0,1,1,1,0
id314951,1,1,1,0,1,1,1,1
id314957,1,1,1,0,1,1,1,0
id314976,1,0,1,1,1,1,1,0
id314977,1,0,1,1,1,1,1,0
id314986,1,1,1,1,1,1,1,0
id314987,1,1,0,1,0,0,1,0
id314988,1,0,1,0,0,1,1,1
id314992,1,1,1,0,1,0,1,1
id315005,1,1,0,1,0,0,1,0
id315007,1,1,1,1,1,0,1,1
id315022,1,1,0,0,0,1,1,0
id315033,1,0,1,0,0,1,1,0
id315045,1,1,1,0,0,1,1,1
id315046,1,1,0,0,0,1,1,1
id315060,1,0,1,0,1,0,1,1
id315138,1,0,0,1,0,0,1,0
id315141,1,0,0,0,0,0,1,0
id315142,1,0,0,0,0,0,1,0
id315143,1,0,0,1,0,1,1,0
id315208,1,1,1,0,1,0,1,1
id315209,1,0,0,0,0,0,1,1
id315245,1,1,1,1,0,1,1,0
id315246,1,1,1,0,0,1,1,0
id315247,1,1,1,0,0,1,1,0
id315248,1,1,1,0,0,1,1,0
id315249,1,1,1,0,0,1,1,0
id315250,1,1,1,0,0,1,1,0
id315252,1,1,1,0,0,1,1,0
id315253,1,1,1,0,0,0,1,1
id315254,1,1,1,0,0,0,1,1
id315256,1,1,1,0,0,0,1,1
id315266,0,1,1,1,1,0,1,0
id315267,0,1,1,1,1,0,1,0
id315268,1,0,1,0,0,0,1,1
id315269,1,0,1,0,0,0,1,1
id315270,0,1,1,1,1,0,1,0
id315271,1,0,1,1,0,0,1,1
id315272,1,0,1,0,0,0,1,1
id315273,1,0,1,0,0,0,1,1
id315275,0,1,1,1,1,0,1,0
id315276,1,0,1,1,0,1,1,1
id315278,1,1,0,0,0,1,1,1
id315294,1,1,1,1,1,0,1,0
id315297,0,1,1,1,1,1,1,0
id315319,1,0,1,0,0,0,1,1
id315321,1,1,1,0,1,0,1,1
id315324,1,1,0,0,1,0,1,1
id315326,1,1,1,0,0,0,1,1
id315337,1,1,0,0,0,1,1,1
id315349,1,0,1,1,1,0,1,1
id315373,1,1,1,0,1,1,1,0
id315382,1,0,1,1,1,0,1,0
id315386,1,0,1,1,0,1,1,1
id315387,1,0,1,0,0,1,1,1
id315389,1,0,1,1,0,1,1,1
id315390,0,0,1,0,1,0,1,1
id315392,1,0,0,1,0,1,1,0
id315393,1,0,0,1,0,1,1,0
id315394,1,0,0,1,0,1,1,0
id315395,1,0,0,1,0,1,1,0
id315396,1,0,1,0,0,1,1,1
id315397,1,0,1,0,0,1,1,1
id315399,1,0,0,0,0,1,1,0
id315400,1,0,0,0,0,1,1,0
id315402,1,0,1,0,1,1,1,0
id315403,1,0,1,1,1,1,1,0
id315405,1,0,1,1,1,1,1,0
id315413,1,0,1,0,1,1,1,0
id315414,1,0,1,0,0,1,1,1
id315429,1,0,1,1,1,1,1,0
id315433,1,0,1,1,1,1,1,0
id315434,1,0,1,1,1,1,1,0
id315435,1,0,1,1,1,1,1,0
